SR   obs  bkg    bkg_err_stat  bkg_err_sys  S95_obs  S95_exp  
SR1  441  423.0  20.6          33.4         96.2     84.2     
SR2  13   9.2    3.0           0.7          12.9     10.2     
SR3  6    7.7    2.8           0.6          6.7      7.7      
SR4  35   34.9   5.9           2.8          17.2     17.4     
