SR    obs  bkg  bkg_err  S95_obs  S95_exp  
yl0b  830  821  7.5      65       60       
yl1b  264  278  7.4      27       37       
yl2b  46   43   4.2      18       16       
rs0b  925  882  11       97       62       
ys1b  387  369  12       60       45       
ys2b  94   79   7.3      36       24       
