SR      obs  bkg    bkg_err  S95_obs  S95_exp  
1l2t    212  206.3  14.0     43.0     40.1     
2lss    507  423.0  38.0     153.1    89.6     
2lss1t  49   36.1   4.2      27.2     16.3     
3l      148  131.4  18.2     54.0     41.8     
3l1t    7    5.3    0.5      7.9      6.1      
4l      3    2.4    0.4      5.1      4.7      
