SR      obs  bkg   bkg_err  S95_obs  S95_exp  
SRA100  23   14.8  3.2      18.8     11.8     
SRA150  5    4.0   1.0      6.8      5.8      
SRA250  4    5.9   2.5      5.6      6.7      
SRB100  10   13.6  2.4      7.1      9.0      
SRB150  4    2.0   0.5      6.8      4.7      
SRB250  0    1.6   0.4      3.2      3.8      
SRC100  4    1.7   0.5      6.9      4.5      
SRC150  0    0.7   0.2      3.0      2.9      
