SR     obs  bkg   bkg_errp  bkg_errm  S95_obs  S95_exp  
2m100  56   75    9.2       8.7       13       22       
2m150  21   17.7  4.1       3.4       14.5     12.1     
2m225  5    4.8   2.5       1.8       6.9      7.0      
2m300  5    1.9   1.7       0.8       8.6      6.3      
