SR    obs   bkg   bkg_err  S95_obs  S95_exp  
0jDf  4847  4857  302      556      552      
0jSf  2233  2124  134      351      269      
1jDf  3114  3128  217      392      415      
1jSf  1198  1162  142      282      266      
