SR     obs  bkg  bkg_err_stat  bkg_errp_sys  bkg_errm_sys  S95_obs  S95_exp  
mts50  7    5.4  1.0           4.2           4.6           10.3     9.7      
mtg50  14   6.1  1.6           3.7           3.6           17.2     13.1     
