SR   obs  bkg   bkg_err  S95_obs  S95_exp  
2e   8    7.27  1.16     7.84     7.11     
emu  2    1.78  0.7      4.53     4.47     
eh   5    5.82  1.48     5.97     6.66     
muh  1    1.14  0.29     3.32     3.84     
hh   3    4.70  0.94     4.65     6.04     
