SR   obs  bkg   bkg_err  S95_obs  S95_exp  
SR1  0    0.11  0.05     2.94     2.93     
SR2  0    0.5   0.2      3.0      2.9      
SR3  1    0.4   0.1      3.8      3.0      
SR4  3    0.4   0.2      6.6      3.2      
