SR    obs  bkg  bkg_err  S95_obs  S95_exp  
SRA1  81   70   13       38       30       
SRA2  24   22   5        15       14       
SRA3  10   7.2  1.5      10.2     7.6      
SRB   45   37   7        26       20       
