SR    obs     bkg     bkg_err  S95_obs  S95_exp  
lhb   6843    6500    600      1350     1121     
lhnb  203365  193000  13000    32546    24607    
hhb   154     180     60       70       79       
hhnb  4059    3900    400      850      735      
