analysis             sr                        o         b         db              s                  ds               s95obs         s95exp         robscons          rexpcons           
atlas_1403_4853      SR1                       250.0     270.0     40.0            0.0737931061332    0.0521796147846  76.3           76.9           0                 0                  
atlas_1403_4853      SR2                       1.0       3.4       1.8             0.0                28.7085380277    3.7            4.5            0                 0                  
atlas_1403_4853      SR3                       2.0       1.3       0.6             0.0                28.7085380277    4.7            4.1            0                 0                  
atlas_1403_4853      SR4                       3.0       3.7       2.7             0.0                28.7085380277    6.5            6.5            0                 0                  
atlas_1403_4853      SR5                       0.0       0.5       0.4             0.0                28.7085380277    3.1            3.1            0                 0                  
atlas_1403_4853      SR6                       3.0       3.8       1.6             1.061332e-07       20.300017606     5.7            5.7            0                 0                  
atlas_1403_4853      SR7                       15.0      15.0      7.0             2.65333e-07        20.300017606     9.7            9.3            0                 0                  
atlas_1403_5222      SR2A                      10.0      10.8      1.7             0.0                28.7085380277    7.9            8.3            0                 0                  
atlas_1403_5222      SR2B                      1.0       2.4       0.9             0.0                28.7085380277    3.4            4.5            0                 0                  
atlas_1403_5222      SR2C                      2.0       3.5       0.5             0.0                28.7085380277    4.0            5.4            0                 0                  
atlas_1403_5222      SR3A                      4.0       4.5       1.4             0.0                28.7085380277    5.7            6.1            0                 0                  
atlas_1403_5222      SR3B                      2.0       1.3       0.4             0.0                28.7085380277    4.6            4.0            0                 0                  
atlas_1404_2500      SR0b                      14.0      6.5       2.3             0.0                28.7085380277    16.3           8.9            0                 0                  
atlas_1404_2500      SR1b                      10.0      4.7       2.1             0.0                28.7085380277    13.3           8.0            0                 0                  
atlas_1404_2500      SR3Lhigh                  2.0       2.5       0.9             0.0                28.7085380277    4.6            5.0            0                 0                  
atlas_1404_2500      SR3Llow                   6.0       4.3       2.1             0.0                28.7085380277    8.6            7.2            0                 0                  
atlas_1404_2500      SR3b                      1.0       2.2       0.8             0.0                28.7085380277    3.9            4.4            0                 0                  
atlas_1405_7875      SR01_a.2jl                12315.0   13000.0   1000.0          0.0                28.5937163899    1200.0         1700.0         0                 0                  
atlas_1405_7875      SR01_b.2jm                715.0     760.0     50.0            0.0                28.5937163899    90.0           110.0          0                 0                  
atlas_1405_7875      SR01_c.2jt                133.0     125.0     10.0            0.0                28.5937163899    38.0           32.0           0                 0                  
atlas_1405_7875      SR01_d.2jW                0.0       2.3       1.4             0.0                28.5937163899    4.8            4.0            0                 0                  
atlas_1405_7875      SR02_3j                   7.0       5.0       1.2             0.0                28.5937163899    8.2            6.4            0                 0                  
atlas_1405_7875      SR03_a.4jl-               2169.0    2120.0    110.0           0.0                28.5937163899    270.0          240.0          0                 0                  
