analysis             sr                        signal_normevents  signal_err_tot     
atlas_1501_07110     SRee-1                    0.0                0                  
atlas_1501_07110     SRee-2                    0.0                0                  
atlas_1501_07110     SRem-1                    0.0                0                  
atlas_1501_07110     SRem-2                    0.0                0                  
atlas_1501_07110     SRlbb-onHiggs-1           0.0                0                  
atlas_1501_07110     SRlbb-onHiggs-2           0.0                0                  
atlas_1501_07110     SRlbb-sidebands-1         0.0                0                  
atlas_1501_07110     SRlbb-sidebands-2         0.0                0                  
atlas_1501_07110     SRlrr-1                   0.0                0                  
atlas_1501_07110     SRlrr-2                   0.0                0                  
atlas_1501_07110     SRmm-1                    0.0                0                  
atlas_1501_07110     SRmm-2                    0.0                0                  
atlas_1502_01518     SR1                       0.0                0                  
atlas_1502_01518     SR2                       0.0                0                  
atlas_1502_01518     SR3                       0.0                0                  
atlas_1502_01518     SR4                       0.0                0                  
atlas_1502_01518     SR5                       0.0                0                  
atlas_1502_01518     SR6                       0.0                0                  
atlas_1502_01518     SR7                       0.0                0                  
atlas_1502_01518     SR8                       0.0                0                  
atlas_1502_01518     SR9                       0.0                0                  
atlas_1503_03290     SR-Z                      5.30666e-08        5.3066586898e-08   
atlas_1506_08616     SRexA                     0.0                0                  
atlas_1506_08616     SRinA                     0.0                0                  
atlas_1506_08616     SRinB                     0.0                0                  
atlas_1506_08616     SRinC                     0.0                0                  
atlas_1506_08616     WWSR1                     0.0                0                  
atlas_1506_08616     WWSR2                     0.0                0                  
atlas_1506_08616     WWSR3                     0.0                0                  
atlas_1506_08616     WWSR4                     0.0                0                  
atlas_1506_08616     WWSR5                     0.0                0                  
atlas_1506_08616     WWSR6                     0.0                0                  
atlas_1506_08616     WWSR7                     0.0                0                  
atlas_conf_2012_104  el                        0.0                0                  
atlas_conf_2012_104  mu                        0.0                0                  
atlas_conf_2013_024  SR1                       0.0                0                  
atlas_conf_2013_024  SR2                       0.0                0                  
atlas_conf_2013_024  SR3                       0.0                0                  
atlas_conf_2013_049  SR_WWa                    0.0                0                  
atlas_conf_2013_049  SR_WWb                    0.0                0                  
atlas_conf_2013_049  SR_WWc                    0.0                0                  
atlas_conf_2013_049  SR_mT2_110_elel           0.0                0                  
atlas_conf_2013_049  SR_mT2_110_elmu           0.0                0                  
atlas_conf_2013_049  SR_mT2_110_mumu           5.83733e-07        1.7600217725e-07   
atlas_conf_2013_049  SR_mT2_90_elel            0.0                0                  
atlas_conf_2013_049  SR_mT2_90_elmu            0.0                0                  
atlas_conf_2013_049  SR_mT2_90_mumu            6.368e-07          1.83828581979e-07  
atlas_conf_2013_061  SR0L4JA                   0.0                0                  
atlas_conf_2013_061  SR0L4JB                   0.0                0                  
atlas_conf_2013_061  SR0L4JC                   0.0                0                  
atlas_conf_2013_061  SR0L7JA                   0.0                0                  
atlas_conf_2013_061  SR0L7JB                   0.0                0                  
atlas_conf_2013_061  SR0L7JC                   0.0                0                  
atlas_conf_2013_061  SR1L6JA                   0.0                0                  
atlas_conf_2013_061  SR1L6JB                   0.0                0                  
atlas_conf_2013_061  SR1L6JC                   0.0                0                  
atlas_conf_2013_089  DROF                      0.0                0                  
atlas_conf_2013_089  DROFOS                    0.0                0                  
atlas_conf_2013_089  DRSF                      0.0                0                  
atlas_conf_2013_089  DRSFOS                    0.0                0                  
atlas_conf_2013_089  SR1OF                     0.0                0                  
atlas_conf_2013_089  SR1OFOS                   0.0                0                  
atlas_conf_2013_089  SR1SF                     0.0                0                  
atlas_conf_2013_089  SR1SFOS                   0.0                0                  
atlas_conf_2013_089  SR2OF                     0.0                0                  
atlas_conf_2013_089  SR2OFOS                   0.0                0                  
atlas_conf_2013_089  SR2SF                     0.0                0                  
atlas_conf_2013_089  SR2SFOS                   0.0                0                  
atlas_conf_2015_004  M1                        0.0                0                  
cms_1303_2985        23j_0b_275                0.0                0                  
cms_1303_2985        23j_0b_325                0.0                0                  
cms_1303_2985        23j_0b_375                0.0                0                  
cms_1303_2985        23j_0b_475                0.0                0                  
cms_1303_2985        23j_0b_575                0.0                0                  
cms_1303_2985        23j_0b_675                0.0                0                  
cms_1303_2985        23j_0b_775                0.0                0                  
cms_1303_2985        23j_0b_875                0.0                0                  
cms_1303_2985        23j_1b_275                0.0                0                  
