# cms
# cms_1504_03198
# 1 leptons, >=3 jets, >=1 b-jets, etmiss
# sqrt(s) = 8 TeV
# int(L) = 19.7 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.14982e-05

Cut                  Sum_W        Sum_W2       Acc    N_Norm       
CR1_MET_320          7.84236e-09  2.05009e-17  0.003  1.54494e-07  
CR2_1_lepton         2.61412e-09  6.83362e-18  0.001  5.14982e-08  
CR3_3_jets           2.61412e-09  6.83362e-18  0.001  5.14982e-08  
CR4_1_bjet           0            0            0      0            
CR5_mTlepton_160     0            0            0      0            
CR6_deltaj1j2_1dot2  0            0            0      0            
CR7_mt2w_200         0            0            0      0            
