#ATLAS
#ATLAS-CONF-2013-089
#2 leptons, razor
#sqrt(s) = 8 TeV
#int(L) = 20.3 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.30666e-05

Cut                          Sum_W        Sum_W2       Acc    N_Norm       
e_MR_emu_J3_Z_R05_MR800      0            0            0      0            
e_MR_emu_J3_noZ_R035_MR400   0            0            0      0            
e_MR_emu_J3_noZ_R035_MR600   0            0            0      0            
e_MR_emu_J3_noZ_R035_MR800   0            0            0      0            
e_MR_emu_J3_noZ_R05_MR400    0            0            0      0            
e_MR_emu_J3_noZ_R05_MR600    0            0            0      0            
e_MR_emu_J3_noZ_R05_MR800    0            0            0      0            
e_MR_mumu_J2_Z_R035_MR400    1.56847e-08  4.10017e-17  0.006  3.184e-07    
e_MR_mumu_J2_Z_R035_MR600    2.61412e-09  6.83362e-18  0.001  5.30666e-08  
e_MR_mumu_J2_Z_R035_MR800    0            0            0      0            
e_MR_mumu_J2_Z_R05_MR400     5.22824e-09  1.36672e-17  0.002  1.06133e-07  
e_MR_mumu_J2_Z_R05_MR600     2.61412e-09  6.83362e-18  0.001  5.30666e-08  
e_MR_mumu_J2_Z_R05_MR800     0            0            0      0            
e_MR_mumu_J2_noZ_R035_MR400  5.22824e-09  1.36672e-17  0.002  1.06133e-07  
e_MR_mumu_J2_noZ_R035_MR600  0            0            0      0            
e_MR_mumu_J2_noZ_R035_MR800  0            0            0      0            
e_MR_mumu_J2_noZ_R05_MR400   0            0            0      0            
e_MR_mumu_J2_noZ_R05_MR600   0            0            0      0            
e_MR_mumu_J2_noZ_R05_MR800   0            0            0      0            
e_MR_mumu_J3_Z_R035_MR400    5.22824e-09  1.36672e-17  0.002  1.06133e-07  
e_MR_mumu_J3_Z_R035_MR600    2.61412e-09  6.83362e-18  0.001  5.30666e-08  
e_MR_mumu_J3_Z_R035_MR800    0            0            0      0            
e_MR_mumu_J3_Z_R05_MR400     2.61412e-09  6.83362e-18  0.001  5.30666e-08  
e_MR_mumu_J3_Z_R05_MR600     2.61412e-09  6.83362e-18  0.001  5.30666e-08  
e_MR_mumu_J3_Z_R05_MR800     0            0            0      0            
e_MR_mumu_J3_noZ_R035_MR400  2.61412e-09  6.83362e-18  0.001  5.30666e-08  
e_MR_mumu_J3_noZ_R035_MR600  2.61412e-09  6.83362e-18  0.001  5.30666e-08  
e_MR_mumu_J3_noZ_R035_MR800  0            0            0      0            
e_MR_mumu_J3_noZ_R05_MR400   2.61412e-09  6.83362e-18  0.001  5.30666e-08  
e_MR_mumu_J3_noZ_R05_MR600   2.61412e-09  6.83362e-18  0.001  5.30666e-08  
e_MR_mumu_J3_noZ_R05_MR800   0            0            0      0            
