#ATLAS
#arXiv:1407.0583
#1-lepton + (b-)jets + etmiss
#sqrt(s) = 8 TeV
#int(L) = 20.3 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.30666e-05

Cut                            Sum_W        Sum_W2       Acc    N_Norm       
bCc_diag_Mu_09_met/ht          0            0            0      0            
bCc_diag_Mu_10_mT              0            0            0      0            
bCd_bulk_El_00_jet1            0            0            0      0            
bCd_bulk_El_01_jet2            0            0            0      0            
bCd_bulk_El_02_jet3            0            0            0      0            
bCd_bulk_El_03_bTag            0            0            0      0            
bCd_bulk_El_04_dPhiJet1        0            0            0      0            
bCd_bulk_El_05_dPhiJet2        0            0            0      0            
bCd_bulk_El_06_EtMiss          0            0            0      0            
bCd_bulk_El_07_met/ht          0            0            0      0            
bCd_bulk_El_08_mT              0            0            0      0            
bCd_bulk_El_09_aMT2            0            0            0      0            
bCd_bulk_El_10_trackIso        0            0            0      0            
bCd_bulk_El_11_tauVeto         0            0            0      0            
bCd_bulk_Mu_00_jet1            7.84236e-09  2.05009e-17  0.003  1.592e-07    
bCd_bulk_Mu_01_jet2            5.22824e-09  1.36672e-17  0.002  1.06133e-07  
bCd_bulk_Mu_02_jet3            5.22824e-09  1.36672e-17  0.002  1.06133e-07  
bCd_bulk_Mu_03_bTag            0            0            0      0            
bCd_bulk_Mu_04_dPhiJet1        0            0            0      0            
bCd_bulk_Mu_05_dPhiJet2        0            0            0      0            
bCd_bulk_Mu_06_EtMiss          0            0            0      0            
bCd_bulk_Mu_07_met/ht          0            0            0      0            
bCd_bulk_Mu_08_mT              0            0            0      0            
bCd_bulk_Mu_09_aMT2            0            0            0      0            
bCd_bulk_Mu_10_trackIso        0            0            0      0            
bCd_bulk_Mu_11_tauVeto         0            0            0      0            
bCd_high1_El_00_jet1           0            0            0      0            
bCd_high1_El_01_jet2           0            0            0      0            
bCd_high1_El_02_jet3           0            0            0      0            
bCd_high1_El_03_bTag           0            0            0      0            
bCd_high1_El_04_bJet1PT        0            0            0      0            
bCd_high1_El_05_bJet2PT        0            0            0      0            
bCd_high1_El_06_dPhiJet1       0            0            0      0            
bCd_high1_El_07_dPhiJet2       0            0            0      0            
bCd_high1_El_08_EtMiss         0            0            0      0            
bCd_high1_El_09_met/ht         0            0            0      0            
bCd_high1_El_10_mT             0            0            0      0            
bCd_high1_El_11_meff           0            0            0      0            
bCd_high1_El_12_aMT2           0            0            0      0            
bCd_high1_El_13_isoTrack       0            0            0      0            
bCd_high1_El_14_tauVeto        0            0            0      0            
bCd_high1_Mu_00_jet1           7.84236e-09  2.05009e-17  0.003  1.592e-07    
bCd_high1_Mu_01_jet2           5.22824e-09  1.36672e-17  0.002  1.06133e-07  
bCd_high1_Mu_02_jet3           5.22824e-09  1.36672e-17  0.002  1.06133e-07  
bCd_high1_Mu_03_bTag           0            0            0      0            
bCd_high1_Mu_04_bJet1PT        0            0            0      0            
bCd_high1_Mu_05_bJet2PT        0            0            0      0            
bCd_high1_Mu_06_dPhiJet1       0            0            0      0            
bCd_high1_Mu_07_dPhiJet2       0            0            0      0            
bCd_high1_Mu_08_EtMiss         0            0            0      0            
bCd_high1_Mu_09_met/ht         0            0            0      0            
bCd_high1_Mu_10_mT             0            0            0      0            
bCd_high1_Mu_11_meff           0            0            0      0            
bCd_high1_Mu_12_aMT2           0            0            0      0            
bCd_high1_Mu_13_isoTrack       0            0            0      0            
bCd_high1_Mu_14_tauVeto        0            0            0      0            
bCd_high2_El_00_jet1           0            0            0      0            
bCd_high2_El_01_jet2           0            0            0      0            
bCd_high2_El_02_jet3           0            0            0      0            
bCd_high2_El_03_bTag           0            0            0      0            
bCd_high2_El_04_bJet1PT        0            0            0      0            
bCd_high2_El_05_bJet2PT        0            0            0      0            
bCd_high2_El_06_dPhiJet1       0            0            0      0            
bCd_high2_El_07_dPhiJet2       0            0            0      0            
bCd_high2_El_08_EtMiss         0            0            0      0            
bCd_high2_El_09_met/ht         0            0            0      0            
bCd_high2_El_10_dummy          0            0            0      0            
bCd_high2_El_11_dummy          0            0            0      0            
bCd_high2_El_12_aMT2           0            0            0      0            
bCd_high2_El_13_isoTrack       0            0            0      0            
bCd_high2_El_14_tauVeto        0            0            0      0            
bCd_high2_Mu_00_jet1           7.84236e-09  2.05009e-17  0.003  1.592e-07    
bCd_high2_Mu_01_jet2           5.22824e-09  1.36672e-17  0.002  1.06133e-07  
bCd_high2_Mu_02_jet3           5.22824e-09  1.36672e-17  0.002  1.06133e-07  
bCd_high2_Mu_03_bTag           0            0            0      0            
bCd_high2_Mu_04_bJet1PT        0            0            0      0            
bCd_high2_Mu_05_bJet2PT        0            0            0      0            
bCd_high2_Mu_06_dPhiJet1       0            0            0      0            
bCd_high2_Mu_07_dPhiJet2       0            0            0      0            
bCd_high2_Mu_08_EtMiss         0            0            0      0            
bCd_high2_Mu_09_met/ht         0            0            0      0            
bCd_high2_Mu_10_dummy          0            0            0      0            
bCd_high2_Mu_11_dummy          0            0            0      0            
bCd_high2_Mu_12_aMT2           0            0            0      0            
bCd_high2_Mu_13_isoTrack       0            0            0      0            
bCd_high2_Mu_14_tauVeto        0            0            0      0            
b_trigger                      2.54877e-06  6.66278e-15  0.975  5.174e-05    
b_trigger_EtMiss               2.71868e-07  7.10697e-16  0.104  5.51893e-06  
c_DQ                           2.48603e-06  6.49877e-15  0.951  5.04664e-05  
c_DQ_ETMiss                    2.61412e-07  6.83362e-16  0.1    5.30666e-06  
e_150                          2.61412e-07  6.83362e-16  0.1    5.30666e-06  
e_250                          3.39836e-08  8.88371e-17  0.013  6.89866e-07  
e_300                          1.82988e-08  4.78354e-17  0.007  3.71466e-07  
e_370                          5.22824e-09  1.36672e-17  0.002  1.06133e-07  
f_Baseline_Hard_El             0            0            0      0            
f_Baseline_Hard_Mu             4.91455e-07  1.28472e-15  0.188  9.97653e-06  
f_Baseline_bCa_low_El          0            0            0      0            
f_Baseline_bCa_low_Mu          2.61412e-09  6.83362e-18  0.001  5.30666e-08  
f_Baseline_bCa_med_El          0            0            0      0            
f_Baseline_bCa_med_Mu          1.04565e-08  2.73345e-17  0.004  2.12267e-07  
f_Baseline_bCb_high_El         0            0            0      0            
f_Baseline_bCb_high_Mu         1.56847e-08  4.10017e-17  0.006  3.184e-07    
f_Baseline_bCb_med1_El         0            0            0      0            
f_Baseline_bCb_med1_Mu         6.79671e-08  1.77674e-16  0.026  1.37973e-06  
g_Signal_Hard_El               0            0            0      0            
g_Signal_Hard_Mu               4.57471e-07  1.19588e-15  0.175  9.28666e-06  
g_Signal_bCa_low_El            0            0            0      0            
g_Signal_bCa_low_Mu            2.61412e-09  6.83362e-18  0.001  5.30666e-08  
g_Signal_bCa_med_El            0            0            0      0            
g_Signal_bCa_med_Mu            1.04565e-08  2.73345e-17  0.004  2.12267e-07  
g_Signal_bCb_high_El           0            0            0      0            
g_Signal_bCb_high_Mu           1.56847e-08  4.10017e-17  0.006  3.184e-07    
g_Signal_bCb_med1_El           0            0            0      0            
g_Signal_bCb_med1_Mu           6.79671e-08  1.77674e-16  0.026  1.37973e-06  
h_3jets_Mu                     3.13694e-08  8.20035e-17  0.012  6.368e-07    
i_4jets_Mu                     1.04565e-08  2.73345e-17  0.004  2.12267e-07  
tN_diag_El_00_jet1             0            0            0      0            
tN_diag_El_01_jet2             0            0            0      0            
tN_diag_El_02_jet3             0            0            0      0            
tN_diag_El_03_bTag             0            0            0      0            
tN_diag_El_04_dPhiJet1         0            0            0      0            
tN_diag_El_05_dPhiJet2         0            0            0      0            
tN_diag_El_06_EtMiss           0            0            0      0            
tN_diag_El_07_met/ht           0            0            0      0            
tN_diag_El_08_mT               0            0            0      0            
tN_diag_El_09_hadTop           0            0            0      0            
tN_diag_El_10_tauVeto          0            0            0      0            
tN_diag_Mu_00_jet1             1.04565e-08  2.73345e-17  0.004  2.12267e-07  
tN_diag_Mu_01_jet2             7.84236e-09  2.05009e-17  0.003  1.592e-07    
tN_diag_Mu_02_jet3             7.84236e-09  2.05009e-17  0.003  1.592e-07    
tN_diag_Mu_03_bTag             0            0            0      0            
tN_diag_Mu_04_dPhiJet1         0            0            0      0            
tN_diag_Mu_05_dPhiJet2         0            0            0      0            
tN_diag_Mu_06_EtMiss           0            0            0      0            
tN_diag_Mu_07_met/ht           0            0            0      0            
tN_diag_Mu_08_mT               0            0            0      0            
tN_diag_Mu_09_hadTop           0            0            0      0            
tN_diag_Mu_10_tauVeto          0            0            0      0            
tN_high_El_00_jet1             0            0            0      0            
tN_high_El_01_jet2             0            0            0      0            
tN_high_El_02_jet3             0            0            0      0            
tN_high_El_03_bTag             0            0            0      0            
tN_high_El_04_dRLepBJet        0            0            0      0            
tN_high_El_05_EtMiss           0            0            0      0            
tN_high_El_06_missHT_Sig       0            0            0      0            
tN_high_El_07_mT               0            0            0      0            
tN_high_El_08_hadTop           0            0            0      0            
tN_high_El_09_aMT2             0            0            0      0            
tN_high_El_10_MT2_Tau          0            0            0      0            
tN_high_Mu_00_jet1             7.84236e-09  2.05009e-17  0.003  1.592e-07    
tN_high_Mu_01_jet2             5.22824e-09  1.36672e-17  0.002  1.06133e-07  
tN_high_Mu_02_jet3             5.22824e-09  1.36672e-17  0.002  1.06133e-07  
tN_high_Mu_03_bTag             0            0            0      0            
tN_high_Mu_04_dRLepBJet        0            0            0      0            
tN_high_Mu_05_EtMiss           0            0            0      0            
