# cms
# cms_1504_03198
# 1 leptons, >=3 jets, >=1 b-jets, etmiss
# sqrt(s) = 8 TeV
# int(L) = 19.7 fb^-1

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     35.806

Cut                  Sum_W       Sum_W2       Acc    N_Norm    
CR1_MET_320          0.00181756  3.30353e-06  0.001  0.035806  
CR2_1_lepton         0           0            0      0         
CR3_3_jets           0           0            0      0         
CR4_1_bjet           0           0            0      0         
CR5_mTlepton_160     0           0            0      0         
CR6_deltaj1j2_1dot2  0           0            0      0         
CR7_mt2w_200         0           0            0      0         
