# ATLAS
# arXiv:1502.01518
# CERN-PH-EP-2014-299
# Monojet and missing energy
# Energy: 8 TeV
# Luminosity: 20.3 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.30666e-05

Cut                    Sum_W        Sum_W2       Acc    N_Norm       
a_trigger              1.0561e-06   2.76078e-15  0.404  2.14389e-05  
b_EtMiss_150           2.74483e-07  7.1753e-16   0.105  5.572e-06    
c_jetquality_(photon)  2.64026e-07  6.90196e-16  0.101  5.35973e-06  
d_leadingjet>30        1.93445e-07  5.05688e-16  0.074  3.92693e-06  
